 Cost for each period: 
Cost for 30 of days: 

Transport: 296283347 k$ 
      ~Accommodation: -341714 k1$: 
      ~Makeup: 0 k$: 
      ~Food: 0 k$: 
      ~Beverage: 102294 k$: 
      ~Space rental: 58 k$: 

Cost for 45 of days: 

Transport: 296283347 k$ 
      ~Accommodation: 346421 k1$: 
      ~Makeup: 0 k$: 
      ~Food: 0 k$: 
      ~Beverage: 123453 k$: 
      ~Space rental: 88 k$: 

Cost for 60 of days: 

Transport: 296283347 k$ 
      ~Accommodation: 175564 k1$: 
      ~Makeup: 0 k$: 
      ~Food: 0 k$: 
      ~Beverage: -866188 k$: 
      ~Space rental: 117 k$: 

Cost for 100 of days: 

Transport: 296283347 k$ 
      ~Accommodation: 6275 k1$: 
      ~Makeup: 0 k$: 
      ~Food: 0 k$: 
      ~Beverage: -157134 k$: 
      ~Space rental: 196 k$: 

